company_id,type,rule_id,text,confidence_pct
BAJAJHLDNG,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJHLDNG,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
BAJAJHLDNG,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
BAJAJHLDNG,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJFINANCE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJFINANCE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJFINANCE,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJFINANCE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJFINANCE,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJFINANCE,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJFINANCE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BANKBARODA,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BANKBARODA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BANKBARODA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BEL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BHARTIARTL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BHARTIARTL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BHARTIARTL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BHARTIARTL,con,C1,Debt-to-equity ratio of 2.6x is elevated for a non-financial company and warrants monitoring,85
BHEL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
BOSCHLTD,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BOSCHLTD,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BOSCHLTD,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BOSCHLTD,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BOSCHLTD,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
BPCL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BPCL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BPCL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BPCL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BRITANNIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BRITANNIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CANBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CANBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
CANBK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
CANBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
CANBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
CHOLAFIN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CHOLAFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CHOLAFIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
CHOLAFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CHOLAFIN,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
CHOLAFIN,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CHOLAFIN,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
CHOLAFIN,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
CHOLAFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
CIPLA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
CIPLA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CIPLA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
CIPLA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CIPLA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
CIPLA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CIPLA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
COALINDIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COALINDIA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
COALINDIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
COALINDIA,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
COALINDIA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
COALINDIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DABUR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DABUR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DABUR,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
DABUR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
DIVISLAB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DIVISLAB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DIVISLAB,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
DIVISLAB,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85
DLF,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DLF,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DLF,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
DLF,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DLF,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DLF,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
DLF,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DLF,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
DMART,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
DMART,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
DMART,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DMART,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
DMART,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DRREDDY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DRREDDY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DRREDDY,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
DRREDDY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DRREDDY,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
DRREDDY,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DRREDDY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
EICHERMOT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
EICHERMOT,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
EICHERMOT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
EICHERMOT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
EICHERMOT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
EICHERMOT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
EICHERMOT,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
EICHERMOT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GAIL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
GAIL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
GAIL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GODREJCP,con,C4,Company reported a net loss in the most recent financial year,95
GRASIM,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
GRASIM,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
GRASIM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
GRASIM,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GRASIM,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85
GRASIM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HAL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HAL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HAL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
HAL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAL,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
HAL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
HAL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HAL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
HAVELLS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAVELLS,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
HCLTECH,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HCLTECH,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HCLTECH,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HCLTECH,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HDFCBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
HDFCBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
HDFCBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
HDFCBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
HDFCBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HDFCBANK,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
HDFCBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HDFCBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
HDFCLIFE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
HDFCLIFE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HDFCLIFE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HDFCLIFE,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HEROMOTOCO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HEROMOTOCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HEROMOTOCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HEROMOTOCO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HEROMOTOCO,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
HEROMOTOCO,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
HINDALCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HINDALCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HINDALCO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDUNILVR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HINDUNILVR,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HINDUNILVR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HINDUNILVR,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
HINDUNILVR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDUNILVR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ICICIBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ICICIBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ICICIBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
ICICIBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ICICIBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ICICIBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ICICIBANK,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
ICICIBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ICICIBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ICICIGI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ICICIGI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ICICIGI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIGI,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
ICICIGI,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ICICIPRULI,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ICICIPRULI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIPRULI,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
INDIGO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INDIGO,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
INDIGO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
INDIGO,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
INDIGO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INDIGO,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
INDIGO,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
INDIGO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDIGO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDUSINDBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
INDUSINDBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
INDUSINDBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
INDUSINDBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
INDUSINDBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDUSINDBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDUSINDBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
INDUSINDBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
INFY,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
INFY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INFY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INFY,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
IOC,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
IOC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
IOC,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
IOC,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
IRCTC,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
IRCTC,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
IRCTC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
IRCTC,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
IRCTC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
IRCTC,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
IRCTC,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
IRCTC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
IRCTC,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
IRFC,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
IRFC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
IRFC,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
IRFC,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
IRFC,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
IRFC,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
IRFC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
IRFC,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
IRFC,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
IRFC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ITC,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ITC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ITC,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ITC,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ITC,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
ITC,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
JINDALSTEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
JIOFIN,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,100
JIOFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
JIOFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
JIOFIN,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
JIOFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
JSWENERGY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
JSWENERGY,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
JSWENERGY,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
JSWENERGY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
JSWENERGY,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
JSWENERGY,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
JSWENERGY,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
JSWENERGY,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
JSWENERGY,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
JSWSTEEL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
